Annual Income ($),Spending Score (1-100),Cluster,Segment
0.3474159621842989,0.93,7,High-Engagement Budget
0.3263604493246444,0.4,0,Budget Moderates
0.4474296482676577,0.87,4,Active Spenders
0.373735353258867,0.12,5,Budget-Conscious
0.1368608335877541,0.97,7,High-Engagement Budget
0.2737216671755082,0.36,0,Budget Moderates
0.2000273721667175,0.74,7,High-Engagement Budget
0.2684577889605946,0.22,5,Budget-Conscious
0.4737490393422258,0.9,4,Active Spenders
0.1579163464474086,0.17,5,Budget-Conscious
0.2158190068114584,0.88,7,High-Engagement Budget
0.0894859296535315,0.2,0,Budget Moderates
0.484276795772053,0.76,4,Active Spenders
0.4211102571930896,0.16,5,Budget-Conscious
0.0526387821491362,0.89,7,High-Engagement Budget
0.0842220514386179,0.01,5,Budget-Conscious
0.4579574046974849,0.78,4,Active Spenders
0.3474159621842989,0.01,5,Budget-Conscious
0.4526935264825713,0.73,7,High-Engagement Budget
0.0473749039342225,0.35,0,Budget Moderates
0.263193910745681,0.8300000000000001,7,High-Engagement Budget
0.1842357375219767,0.05,5,Budget-Conscious
0.3053049364649899,0.93,7,High-Engagement Budget
0.2474022761009401,0.26,0,Budget Moderates
0.2842494236053354,0.75,7,High-Engagement Budget
0.4158463789781759,0.2,5,Budget-Conscious
0.4369018918378304,0.95,4,Active Spenders
0.3000410582500763,0.27,5,Budget-Conscious
0.0,0.63,0,Budget Moderates
0.3632075968290397,0.13,5,Budget-Conscious
0.0210555128596544,0.75,7,High-Engagement Budget
0.4158463789781759,0.1,5,Budget-Conscious
0.5211239432764483,0.92,4,Active Spenders
0.1052775642982724,0.13,5,Budget-Conscious
0.1473885900175813,0.86,7,High-Engagement Budget
0.1526524682324949,0.15,5,Budget-Conscious
0.2368745196711129,0.6900000000000001,7,High-Engagement Budget
0.4526935264825713,0.14,5,Budget-Conscious
0.221082885026372,0.9,7,High-Engagement Budget
0.3105688146799035,0.32,0,Budget Moderates
0.3210965711097308,0.86,7,High-Engagement Budget
0.0579026603640498,0.15,0,Budget Moderates
0.3474159621842989,0.88,7,High-Engagement Budget
0.2052912503816311,0.39,0,Budget Moderates
0.3789992314737806,0.97,7,High-Engagement Budget
0.0736942950087906,0.24,0,Budget Moderates
0.2316106414561992,0.68,7,High-Engagement Budget
0.4000547443334351,0.17,5,Budget-Conscious
0.5000684304167938,0.85,4,Active Spenders
0.484276795772053,0.23,5,Budget-Conscious
0.5158600650615347,0.6900000000000001,4,Active Spenders
0.5053323086317075,0.08,5,Budget-Conscious
0.2368745196711129,0.91,7,High-Engagement Budget
0.0421110257193089,0.16,0,Budget Moderates
0.2421383978860265,0.79,7,High-Engagement Budget
0.4105825007632623,0.28,5,Budget-Conscious
0.0210555128596544,0.74,7,High-Engagement Budget
0.4263741354080032,0.18,5,Budget-Conscious
0.1737079810921494,0.8300000000000001,7,High-Engagement Budget
0.2105551285965448,0.1,5,Budget-Conscious
0.4474296482676577,0.16,5,Budget-Conscious
0.3158326928948172,0.0,5,Budget-Conscious
0.3158326928948172,0.39,0,Budget Moderates
0.331624327539558,0.59,0,Budget Moderates
0.0526387821491362,0.52,0,Budget Moderates
0.2895133018202491,0.61,0,Budget Moderates
0.4895406739869666,0.12,5,Budget-Conscious
0.0789581732237043,0.07,5,Budget-Conscious
0.2052912503816311,0.33,0,Budget Moderates
0.3000410582500763,0.93,7,High-Engagement Budget
0.1158053207280996,0.92,7,High-Engagement Budget
0.0631665385789634,0.7000000000000001,7,High-Engagement Budget
0.263193910745681,0.8200000000000001,7,High-Engagement Budget
0.5000684304167938,0.68,4,Active Spenders
0.3474159621842989,0.7000000000000001,7,High-Engagement Budget
0.1052775642982724,0.4,0,Budget Moderates
0.1842357375219767,0.99,7,High-Engagement Budget
0.373735353258867,0.34,0,Budget Moderates
0.4000547443334351,0.61,1,Mid-Market Moderates
0.442165770052744,0.33,5,Budget-Conscious
0.3789992314737806,0.51,1,Mid-Market Moderates
0.1737079810921494,0.55,0,Budget Moderates
0.4895406739869666,0.37,1,Mid-Market Moderates
0.4369018918378304,0.48,1,Mid-Market Moderates
0.1210691989430132,0.08,5,Budget-Conscious
0.2105551285965448,0.77,7,High-Engagement Budget
0.4684851611273121,0.86,4,Active Spenders
0.1737079810921494,0.64,7,High-Engagement Budget
0.4948045522018802,0.3,5,Budget-Conscious
0.4895406739869666,0.53,1,Mid-Market Moderates
0.0368471475043953,0.28,0,Budget Moderates
0.0947498078684451,0.88,7,High-Engagement Budget
0.0157916346447408,0.14,0,Budget Moderates
0.442165770052744,0.54,1,Mid-Market Moderates
0.3263604493246444,0.34,0,Budget Moderates
0.0473749039342225,0.96,7,High-Engagement Budget
0.1894996157368903,0.35,0,Budget Moderates
0.1947634939518039,0.74,7,High-Engagement Budget
0.263193910745681,0.11,5,Budget-Conscious
0.4369018918378304,0.16,5,Budget-Conscious
0.4158463789781759,0.17,5,Budget-Conscious
0.2105551285965448,0.14,5,Budget-Conscious
0.2474022761009401,0.58,0,Budget Moderates
0.0210555128596544,0.2,0,Budget Moderates
0.2000273721667175,0.75,7,High-Engagement Budget
0.0,0.96,7,High-Engagement Budget
0.0368471475043953,0.16,0,Budget Moderates
0.2158190068114584,0.02,5,Budget-Conscious
0.3421520839693853,0.0,5,Budget-Conscious
0.1052775642982724,0.93,7,High-Engagement Budget
0.2316106414561992,0.65,7,High-Engagement Budget
0.0157916346447408,0.14,0,Budget Moderates
0.3789992314737806,0.13,5,Budget-Conscious
0.1421247118026677,0.32,0,Budget Moderates
0.4474296482676577,0.49,1,Mid-Market Moderates
0.2000273721667175,0.18,5,Budget-Conscious
0.3842631096886942,0.96,7,High-Engagement Budget
0.3368882057544716,0.64,7,High-Engagement Budget
0.1368608335877541,0.6,0,Budget Moderates
0.2474022761009401,0.16,5,Budget-Conscious
0.1842357375219767,0.85,7,High-Engagement Budget
0.1631802246623222,0.24,0,Budget Moderates
0.068430416793877,0.38,0,Budget Moderates
0.4158463789781759,0.1,5,Budget-Conscious
0.4316380136229168,0.39,1,Mid-Market Moderates
0.1473885900175813,0.68,7,High-Engagement Budget
0.1894996157368903,0.79,7,High-Engagement Budget
0.0421110257193089,0.76,7,High-Engagement Budget
0.4632212829123985,0.39,1,Mid-Market Moderates
0.4790129175571394,0.36,1,Mid-Market Moderates
0.0631665385789634,0.8200000000000001,7,High-Engagement Budget
0.0052638782149136,0.76,7,High-Engagement Budget
0.7527345847326476,0.99,6,Premium Customers
0.0947498078684451,0.5700000000000001,0,Budget Moderates
0.3421520839693853,0.89,7,High-Engagement Budget
0.0473749039342225,0.88,7,High-Engagement Budget
0.5000684304167938,0.21,5,Budget-Conscious
0.4105825007632623,0.12,5,Budget-Conscious
0.2526661543158537,0.73,7,High-Engagement Budget
0.331624327539558,0.87,7,High-Engagement Budget
0.4474296482676577,0.63,1,Mid-Market Moderates
0.2263467632412856,0.58,0,Budget Moderates
0.3895269879036078,0.2,5,Budget-Conscious
0.3526798403992125,0.11,5,Budget-Conscious
0.3105688146799035,0.4,0,Budget Moderates
0.7369429500879068,0.84,6,Premium Customers
0.1631802246623222,0.47,0,Budget Moderates
0.0263193910745681,0.91,7,High-Engagement Budget
0.1000136860833587,0.58,0,Budget Moderates
0.1421247118026677,0.62,0,Budget Moderates
0.3579437186141261,0.8,7,High-Engagement Budget
0.2000273721667175,0.66,7,High-Engagement Budget
0.263193910745681,0.36,0,Budget Moderates
0.4211102571930896,0.73,7,High-Engagement Budget
0.3632075968290397,0.43,0,Budget Moderates
0.1631802246623222,0.91,7,High-Engagement Budget
0.4579574046974849,0.41,1,Mid-Market Moderates
0.4158463789781759,0.16,5,Budget-Conscious
0.1684441028772358,0.86,7,High-Engagement Budget
0.8095160390369208,1.0,6,Premium Customers
0.5045479907776853,0.16,5,Budget-Conscious
0.7633412993356985,0.73,6,Premium Customers
0.7818912061650541,0.07,2,High-Income Savers
0.6175529282954509,0.21,2,High-Income Savers
0.9487772010906756,0.26,2,High-Income Savers
0.8688136271279228,0.12,2,High-Income Savers
0.6342288944802973,0.14,2,High-Income Savers
0.5935864907829492,0.8300000000000001,4,Active Spenders
0.8237337740954025,0.65,3,Affluent Moderates
0.5135544864034025,0.15,5,Budget-Conscious
0.4079558255340204,0.3,5,Budget-Conscious
0.622727320580711,1.0,4,Active Spenders
0.3383463000200027,0.09,5,Budget-Conscious
0.2838651604956467,0.77,7,High-Engagement Budget
0.494388705822902,0.93,4,Active Spenders
0.6950740627664838,0.08,2,High-Income Savers
0.9644319749018286,0.91,6,Premium Customers
0.9629580890016528,0.44,3,Affluent Moderates
0.3593754934885826,0.56,0,Budget Moderates
0.3676345184077821,0.21,5,Budget-Conscious
0.363618179329803,0.6,1,Mid-Market Moderates
0.5825376104098455,1.0,4,Active Spenders
0.5025371892995883,0.94,4,Active Spenders
0.5414477770642299,0.4,1,Mid-Market Moderates
0.7029961994799288,0.07,2,High-Income Savers
0.3399886300230558,0.9,7,High-Engagement Budget
0.8040837167191299,0.39,3,Affluent Moderates
0.4859243896533209,0.58,1,Mid-Market Moderates
0.5207133607756851,0.02,5,Budget-Conscious
0.8729931464305641,0.33,3,Affluent Moderates
0.4932938191542,0.62,1,Mid-Market Moderates
0.7245254613789255,0.67,6,Premium Customers
0.914561992693737,0.96,6,Premium Customers
0.611273121585059,0.58,1,Mid-Market Moderates
0.5908492741111941,0.3,1,Mid-Market Moderates
0.3652289260635666,0.75,7,High-Engagement Budget
0.4028393359091244,0.62,1,Mid-Market Moderates
0.6516891785191657,0.28,2,High-Income Savers
0.3594807710528809,0.55,0,Budget Moderates
0.9116247486498152,0.99,6,Premium Customers
0.747649678377041,0.8200000000000001,6,Premium Customers
0.568188278395991,0.61,1,Mid-Market Moderates
0.7887395117226568,0.61,3,Affluent Moderates
0.7813227073178435,0.99,6,Premium Customers
0.6664017181298493,0.84,4,Active Spenders
0.3009885563287607,0.22,5,Budget-Conscious
0.9707960036636591,0.41,3,Affluent Moderates
0.7952930401002242,0.39,3,Affluent Moderates
0.8743670186446566,0.98,6,Premium Customers
0.3571541368818891,0.91,7,High-Engagement Budget
0.9127248991967322,0.04,2,High-Income Savers
0.3805941865728994,0.98,7,High-Engagement Budget
0.9567625043426996,0.35,3,Affluent Moderates
0.7730426268857843,0.75,6,Premium Customers
0.9102456125575078,0.2,2,High-Income Savers
0.6096149999473612,0.87,4,Active Spenders
0.970259088085738,0.51,3,Affluent Moderates
0.354537989409077,0.19,5,Budget-Conscious
0.8737985197974459,0.71,6,Premium Customers
0.8680872119342646,0.18,2,High-Income Savers
0.3335403792097866,0.61,7,High-Engagement Budget
0.9598787202459284,0.73,6,Premium Customers
0.7819175255561287,0.56,3,Affluent Moderates
0.3307452598776674,0.85,7,High-Engagement Budget
0.6349658374303851,0.72,4,Active Spenders
0.6890311305757629,0.3,2,High-Income Savers
0.5428637603040416,0.74,4,Active Spenders
0.5615557918451999,0.15,5,Budget-Conscious
0.4598155537073494,0.25,5,Budget-Conscious
0.4634634213102845,0.61,1,Mid-Market Moderates
0.5167443966016402,0.49,1,Mid-Market Moderates
0.9383652499815764,0.05,2,High-Income Savers
0.8802888816364344,0.92,6,Premium Customers
0.7394590838746354,0.43,3,Affluent Moderates
0.83851474412288,0.8300000000000001,6,Premium Customers
0.7582248097108025,0.78,6,Premium Customers
0.3821259751334393,0.64,7,High-Engagement Budget
0.9490140756103468,0.77,6,Premium Customers
0.8724035920704938,0.51,3,Affluent Moderates
0.9233210860433532,0.02,2,High-Income Savers
0.369529514565151,0.08,5,Budget-Conscious
0.4816606482992409,0.26,5,Budget-Conscious
0.971301335972291,0.43,3,Affluent Moderates
0.7556823565329992,0.8300000000000001,6,Premium Customers
0.6925895122490445,0.97,4,Active Spenders
0.7954983313506059,0.18,2,High-Income Savers
0.3550327939612789,0.05,5,Budget-Conscious
0.6182635518544642,0.08,2,High-Income Savers
0.4537620937601987,0.23,5,Budget-Conscious
0.7171033930958973,0.1,2,High-Income Savers
0.4692431595902597,0.01,5,Budget-Conscious
0.6270121174476507,0.3,2,High-Income Savers
0.860449324644425,0.31,2,High-Income Savers
0.7985092696895364,0.8200000000000001,6,Premium Customers
0.9724278059102824,0.52,3,Affluent Moderates
0.3706770400160021,0.6900000000000001,7,High-Engagement Budget
0.6269489509090718,0.41,1,Mid-Market Moderates
0.6893048522429385,0.28,2,High-Income Savers
0.7419436343920747,0.77,6,Premium Customers
0.4331382189141672,0.35,1,Mid-Market Moderates
0.4810605661827408,0.92,4,Active Spenders
0.9809710802530872,0.95,6,Premium Customers
0.942176297809174,0.46,3,Affluent Moderates
0.8755671828776569,0.45,3,Affluent Moderates
0.6310810953077789,0.11,2,High-Income Savers
0.3519007864234053,0.73,7,High-Engagement Budget
0.5468958910166655,0.36,1,Mid-Market Moderates
0.988351037510396,0.87,6,Premium Customers
0.5406897786012823,0.93,4,Active Spenders
0.5403213071262383,0.8300000000000001,4,Active Spenders
0.5978976070409635,0.31,1,Mid-Market Moderates
0.4553728404939623,0.88,4,Active Spenders
0.31108993862318,0.44,0,Budget Moderates
0.711086780296251,0.05,2,High-Income Savers
0.583606177687473,0.78,4,Active Spenders
0.9878562329581942,0.12,2,High-Income Savers
0.6559529198732458,0.25,2,High-Income Savers
0.8763936117573984,0.4,3,Affluent Moderates
0.909377072652047,0.6900000000000001,6,Premium Customers
0.6444566098518745,0.19,2,High-Income Savers
0.9661322075652458,0.96,6,Premium Customers
0.5078800256877257,0.34,1,Mid-Market Moderates
0.5926442565824797,0.71,4,Active Spenders
0.819438449472033,0.71,6,Premium Customers
0.3834577363218124,0.93,7,High-Engagement Budget
0.3784570520176445,0.32,5,Budget-Conscious
0.8342141556212955,0.5700000000000001,3,Affluent Moderates
0.4698063945592554,0.04,5,Budget-Conscious
0.9470295935233242,0.24,2,High-Income Savers
0.5872277258993336,0.85,4,Active Spenders
0.6717498183962015,0.78,4,Active Spenders
0.2635939654900144,0.32,0,Budget Moderates
0.4094191836777664,0.62,1,Mid-Market Moderates
0.8948540326571004,0.38,3,Affluent Moderates
0.5610294040237085,0.76,4,Active Spenders
0.4117563456051881,0.41,1,Mid-Market Moderates
0.7172507816859149,0.14,2,High-Income Savers
0.8074736542895343,0.93,6,Premium Customers
0.8572646783244022,0.91,6,Premium Customers
0.3020044848242391,0.29,0,Budget Moderates
0.7032646572688894,0.47,3,Affluent Moderates
0.3491109309695011,0.88,7,High-Engagement Budget
0.3619495299356754,0.16,5,Budget-Conscious
0.3724141198269237,0.86,7,High-Engagement Budget
0.3467527135292197,0.87,7,High-Engagement Budget
0.6105888174171202,0.24,2,High-Income Savers
0.3531904365860591,0.91,7,High-Engagement Budget
0.5686409719224735,0.64,1,Mid-Market Moderates
0.928279659321802,0.8,6,Premium Customers
0.4656005558655395,0.4,1,Mid-Market Moderates
0.6751766031141103,0.55,1,Mid-Market Moderates
0.8252550348995126,0.2,2,High-Income Savers
0.648688767936665,0.5,1,Mid-Market Moderates
0.3199911566845989,0.38,0,Budget Moderates
0.9545095644667164,0.99,6,Premium Customers
0.9859085980186764,0.07,2,High-Income Savers
0.8100318991019824,0.86,6,Premium Customers
0.2816174844978786,0.44,0,Budget Moderates
0.3655394948782465,0.28,5,Budget-Conscious
0.6530998978807626,0.56,1,Mid-Market Moderates
0.7148346615852695,0.29,2,High-Income Savers
0.6348079210839378,0.96,4,Active Spenders
0.4808973859580784,0.11,5,Budget-Conscious
0.2802015012580668,0.41,0,Budget Moderates
0.8229020813374461,0.31,2,High-Income Savers
0.979091875730363,0.8,6,Premium Customers
0.5882910292987461,0.53,1,Mid-Market Moderates
0.7575036583953594,0.12,2,High-Income Savers
0.9601840251823932,0.22,2,High-Income Savers
0.5182972406750397,0.46,1,Mid-Market Moderates
0.4935517491867308,0.28,5,Budget-Conscious
0.5505069114720962,0.5,1,Mid-Market Moderates
0.6885837009274953,0.92,4,Active Spenders
0.3116321180793161,0.92,7,High-Engagement Budget
0.4209418130902123,0.45,1,Mid-Market Moderates
0.5517807700001053,0.42,1,Mid-Market Moderates
0.9933938328402834,0.3,2,High-Income Savers
0.9871666649120404,0.66,3,Affluent Moderates
0.7054017918241443,0.85,4,Active Spenders
0.9285323254761176,0.71,6,Premium Customers
0.8153115689515407,0.43,3,Affluent Moderates
0.8191752555612873,0.81,6,Premium Customers
0.3280975291355659,0.6,0,Budget Moderates
0.593965490014423,0.34,1,Mid-Market Moderates
0.3067946139998105,0.59,0,Budget Moderates
0.4098297661785297,0.81,7,High-Engagement Budget
0.6581111099413604,0.25,2,High-Income Savers
0.7171612957562613,0.34,2,High-Income Savers
0.4312905976607325,0.81,7,High-Engagement Budget
0.6869940097065914,0.97,4,Active Spenders
0.7606409298114478,0.88,6,Premium Customers
0.3356722498868266,0.06,5,Budget-Conscious
0.3514165096276332,0.2,5,Budget-Conscious
0.7112289050080537,0.54,3,Affluent Moderates
0.9468506216640172,0.17,2,High-Income Savers
0.4913882952404013,0.65,1,Mid-Market Moderates
0.4450451114363017,0.96,4,Active Spenders
0.6407455757103604,0.03,2,High-Income Savers
0.3459578679187678,0.91,7,High-Engagement Budget
0.5095118279343489,0.96,4,Active Spenders
0.3808521166054302,0.61,1,Mid-Market Moderates
0.2794961415772684,0.21,5,Budget-Conscious
0.7623727457441545,0.17,2,High-Income Savers
0.967769273690084,0.1,2,High-Income Savers
0.5890069167359744,0.9,4,Active Spenders
0.3412256414035605,0.3,5,Budget-Conscious
0.4661953741038247,0.16,5,Budget-Conscious
0.5525703517323423,0.63,1,Mid-Market Moderates
0.8793834945834693,0.47,3,Affluent Moderates
0.3633023466369082,0.17,5,Budget-Conscious
0.9164885721203954,0.96,6,Premium Customers
0.3273395306726183,0.29,5,Budget-Conscious
0.9674113299714696,0.7000000000000001,6,Premium Customers
0.4409603419415288,0.01,5,Budget-Conscious
0.7800856959373388,0.91,6,Premium Customers
0.6934738437891501,0.87,4,Active Spenders
0.3156800404265846,0.94,7,High-Engagement Budget
0.4682746059987156,0.02,5,Budget-Conscious
0.7375061850569025,0.38,3,Affluent Moderates
0.8522008274816554,0.49,3,Affluent Moderates
0.3014728331245328,0.6,0,Budget Moderates
0.6314127196353185,0.02,2,High-Income Savers
0.8801046458989125,0.63,3,Affluent Moderates
0.9796919578468632,0.02,2,High-Income Savers
0.7089233263499215,0.59,3,Affluent Moderates
0.9500194763493952,0.74,6,Premium Customers
0.5936759767126027,0.21,5,Budget-Conscious
0.7909398128164906,0.17,2,High-Income Savers
0.6097255413898743,0.92,4,Active Spenders
0.5518334087822544,0.44,1,Mid-Market Moderates
0.8031151631275858,0.66,3,Affluent Moderates
0.8542590038636866,0.45,3,Affluent Moderates
0.9041289860717782,0.59,3,Affluent Moderates
0.4090507122027225,0.73,7,High-Engagement Budget
0.5003474159621842,0.17,5,Budget-Conscious
0.393843368039837,0.33,5,Budget-Conscious
0.8015149441502522,0.92,6,Premium Customers
0.3786044406076621,0.14,5,Budget-Conscious
0.7966353290450272,0.95,6,Premium Customers
0.8575963026519419,0.51,3,Affluent Moderates
0.274953414677798,0.3,0,Budget Moderates
0.5278143324876036,0.87,4,Active Spenders
0.8962594881404824,0.23,2,High-Income Savers
0.4672376219903776,0.01,5,Budget-Conscious
0.5651247012749113,0.26,5,Budget-Conscious
0.8673871161316812,0.8300000000000001,6,Premium Customers
0.8212492235779633,0.85,6,Premium Customers
0.983724088559487,0.4,3,Affluent Moderates
0.5227031067409225,0.88,4,Active Spenders
0.3059734489982839,0.65,7,High-Engagement Budget
0.4695958394306589,0.12,5,Budget-Conscious
0.7822491498836682,0.59,3,Affluent Moderates
0.7347952877762219,0.62,3,Affluent Moderates
0.9056555107541032,0.62,3,Affluent Moderates
0.3002147662311684,0.99,7,High-Engagement Budget
0.6190952446124206,0.63,1,Mid-Market Moderates
0.9755071746660068,0.96,6,Premium Customers
0.9821186057039384,0.05,2,High-Income Savers
0.7964142461600008,0.89,6,Premium Customers
0.6523261077831704,0.52,1,Mid-Market Moderates
0.8922063019149988,0.12,2,High-Income Savers
0.7521660858854369,0.25,2,High-Income Savers
0.3104582732373904,0.03,5,Budget-Conscious
0.7443966016402245,1.0,6,Premium Customers
0.5519386863465526,0.67,1,Mid-Market Moderates
0.949240422373588,0.14,2,High-Income Savers
0.9101034878457052,0.13,2,High-Income Savers
0.5340257087812016,0.8200000000000001,4,Active Spenders
1.0,0.37,3,Affluent Moderates
0.4741912051122785,0.65,1,Mid-Market Moderates
0.590854537989409,0.24,5,Budget-Conscious
0.9568414625159232,0.61,3,Affluent Moderates
0.311032035962816,0.31,0,Budget Moderates
0.3203385726467832,0.23,5,Budget-Conscious
0.7890553444155516,0.34,2,High-Income Savers
0.7515554760125069,0.98,6,Premium Customers
0.8558960699885247,0.84,6,Premium Customers
0.7695526756292966,0.89,6,Premium Customers
0.7120342783749355,0.53,3,Affluent Moderates
0.7160822007222041,0.01,2,High-Income Savers
0.5852958825944603,0.67,4,Active Spenders
0.7585827534294166,0.62,3,Affluent Moderates
